Plot,Time,Tmt,N
1,0,Pred,592
2,0,Pred,612
3,0,Pred,512
4,0,Pred,396
5,0,Pred,554
6,0,Pred,438
7,0,NoPred,468
8,0,NoPred,820
9,0,NoPred,656
10,0,NoPred,126
11,0,NoPred,730
12,0,NoPred,604
1,178,Pred,530
2,178,Pred,647
3,178,Pred,517
4,178,Pred,507
5,178,Pred,559
6,178,Pred,791
7,178,NoPred,495
8,178,NoPred,934
9,178,NoPred,954
10,178,NoPred,251
11,178,NoPred,851
12,178,NoPred,792
1,280,Pred,541
2,280,Pred,573
3,280,Pred,533
4,280,Pred,577
5,280,Pred,664
6,280,Pred,745
7,280,NoPred,535
8,280,NoPred,900
9,280,NoPred,1110
10,280,NoPred,470
11,280,NoPred,923
12,280,NoPred,769
1,338,Pred,601
2,338,Pred,628
3,338,Pred,583
4,338,Pred,562
5,338,Pred,644
6,338,Pred,733
7,338,NoPred,535
8,338,NoPred,952
9,338,NoPred,1025
10,338,NoPred,446
11,338,NoPred,839
12,338,NoPred,805
